 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國104年底 ,,,,,,,,,,,,,, 中華民國104年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 女 ," 410,328 "," 2,440 "," 10,727 "," 2,655 "," 2,442 "," 3,028 "," 2,602 "," 14,110 "," 19,198 "," 25,773 "," 28,831 "," 27,143 "," 30,226 "," 32,138 "," 29,141 "," 31,503 "," 33,526 "," 32,267 "," 28,975 "," 19,484 "," 14,909 "," 13,531 "," 9,492 "," 4,970 "," 1,579 ", 333 , 32 
, 計 ," 222,452 "," 1,501 "," 6,901 "," 1,744 "," 1,643 "," 1,854 "," 1,660 "," 8,766 "," 11,068 "," 14,448 "," 15,465 "," 14,295 "," 16,060 "," 16,846 "," 16,827 "," 18,116 "," 18,510 "," 16,838 "," 14,727 "," 9,858 "," 7,366 "," 6,363 "," 4,453 "," 2,739 "," 1,054 ", 207 , 44 
 臺 東 縣 , 男 ," 115,174 ", 721 ," 3,618 ", 901 , 886 , 987 , 844 ," 4,583 "," 5,817 "," 7,461 "," 8,092 "," 7,663 "," 8,531 "," 8,843 "," 8,941 "," 10,042 "," 10,054 "," 8,765 "," 7,146 "," 4,682 "," 3,410 "," 2,802 "," 1,935 "," 1,389 ", 541 , 110 , 28 
, 女 ," 107,278 ", 780 ," 3,283 ", 843 , 757 , 867 , 816 ," 4,183 "," 5,251 "," 6,987 "," 7,373 "," 6,632 "," 7,529 "," 8,003 "," 7,886 "," 8,074 "," 8,456 "," 8,073 "," 7,581 "," 5,176 "," 3,956 "," 3,561 "," 2,518 "," 1,350 ", 513 , 97 , 16 
, 計 ," 331,945 "," 2,530 "," 10,689 "," 2,688 "," 2,639 "," 2,802 "," 2,560 "," 12,877 "," 16,052 "," 21,527 "," 23,778 "," 21,604 "," 24,685 "," 25,839 "," 24,411 "," 25,992 "," 26,899 "," 25,730 "," 22,631 "," 14,826 "," 10,850 "," 8,877 "," 6,269 "," 4,022 "," 1,480 ", 324 , 53 
 花 蓮 縣 , 男 ," 169,335 "," 1,333 "," 5,608 "," 1,401 "," 1,357 "," 1,472 "," 1,378 "," 6,782 "," 8,356 "," 11,275 "," 12,262 "," 11,297 "," 12,975 "," 13,387 "," 12,388 "," 13,746 "," 13,848 "," 12,972 "," 11,254 "," 7,052 "," 4,954 "," 3,924 "," 2,808 "," 2,111 ", 797 , 171 , 35 
, 女 ," 162,610 "," 1,197 "," 5,081 "," 1,287 "," 1,282 "," 1,330 "," 1,182 "," 6,095 "," 7,696 "," 10,252 "," 11,516 "," 10,307 "," 11,710 "," 12,452 "," 12,023 "," 12,246 "," 13,051 "," 12,758 "," 11,377 "," 7,774 "," 5,896 "," 4,953 "," 3,461 "," 1,911 ", 683 , 153 , 18 
, 計 ," 102,304 ", 848 ," 3,412 ", 911 , 865 , 924 , 712 ," 3,219 "," 4,213 "," 6,412 "," 8,389 "," 7,219 "," 8,251 "," 8,477 "," 7,510 "," 7,797 "," 7,956 "," 7,324 "," 6,169 "," 4,282 "," 3,051 "," 3,004 "," 2,572 "," 1,505 ", 566 , 119 , 9 
 澎 湖 縣 , 男 ," 52,769 ", 458 ," 1,783 ", 481 , 456 , 491 , 355 ," 1,673 "," 2,196 "," 3,393 "," 4,545 "," 3,813 "," 4,184 "," 4,262 "," 3,915 "," 4,177 "," 4,310 "," 3,927 "," 3,146 "," 2,074 "," 1,475 "," 1,393 "," 1,123 ", 674 , 201 , 44 , 3 
, 女 ," 49,535 ", 390 ," 1,629 ", 430 , 409 , 433 , 357 ," 1,546 "," 2,017 "," 3,019 "," 3,844 "," 3,406 "," 4,067 "," 4,215 "," 3,595 "," 3,620 "," 3,646 "," 3,397 "," 3,023 "," 2,208 "," 1,576 "," 1,611 "," 1,449 ", 831 , 365 , 75 , 6 
, 計 ," 372,105 "," 2,254 "," 8,945 "," 2,082 "," 2,105 "," 2,604 "," 2,154 "," 13,282 "," 16,792 "," 24,061 "," 26,938 "," 25,403 "," 26,574 "," 28,558 "," 28,136 "," 31,104 "," 32,855 "," 31,172 "," 26,897 "," 16,388 "," 10,942 "," 9,752 "," 6,232 "," 3,927 "," 1,524 ", 298 , 71 
 基 隆 市 , 男 ," 186,942 "," 1,221 "," 4,611 "," 1,076 "," 1,119 "," 1,310 "," 1,106 "," 6,894 "," 8,860 "," 12,523 "," 14,034 "," 13,394 "," 13,801 "," 14,397 "," 14,120 "," 15,590 "," 16,561 "," 15,391 "," 13,037 "," 7,869 "," 4,954 "," 4,145 "," 2,703 "," 1,899 ", 750 , 147 , 41 
, 女 ," 185,163 "," 1,033 "," 4,334 "," 1,006 ", 986 ," 1,294 "," 1,048 "," 6,388 "," 7,932 "," 11,538 "," 12,904 "," 12,009 "," 12,773 "," 14,161 "," 14,016 "," 15,514 "," 16,294 "," 15,781 "," 13,860 "," 8,519 "," 5,988 "," 5,607 "," 3,529 "," 2,028 ", 774 , 151 , 30 
, 計 ," 434,060 "," 4,617 "," 21,460 "," 5,293 "," 4,949 "," 6,013 "," 5,205 "," 24,837 "," 25,863 "," 28,376 "," 27,633 "," 26,811 "," 35,579 "," 42,416 "," 35,746 "," 33,813 "," 31,036 "," 26,944 "," 23,357 "," 14,890 "," 10,370 "," 8,418 "," 5,801 "," 4,060 "," 1,642 ", 327 , 64 
 新 竹 市 , 男 ," 214,795 "," 2,424 "," 11,140 "," 2,694 "," 2,613 "," 3,070 "," 2,763 "," 13,012 "," 13,555 "," 14,730 "," 14,163 "," 13,696 "," 17,134 "," 20,386 "," 17,497 "," 16,764 "," 15,541 "," 13,073 "," 11,131 "," 6,970 "," 4,479 "," 3,520 "," 2,502 "," 2,051 ", 842 , 151 , 34 
, 女 ," 219,265 "," 2,193 "," 10,320 "," 2,599 "," 2,336 "," 2,943 "," 2,442 "," 11,825 "," 12,308 "," 13,646 "," 13,470 "," 13,115 "," 18,445 "," 22,030 "," 18,249 "," 17,049 "," 15,495 "," 13,871 "," 12,226 "," 7,920 "," 5,891 "," 4,898 "," 3,299 "," 2,009 ", 800 , 176 , 30 
, 計 ," 270,366 "," 2,050 "," 8,959 "," 2,173 "," 2,033 "," 2,505 "," 2,248 "," 12,472 "," 16,124 "," 19,747 "," 18,932 "," 17,556 "," 20,101 "," 21,909 "," 20,180 "," 21,434 "," 20,944 "," 18,789 "," 16,735 "," 10,933 "," 7,923 "," 6,833 "," 4,773 "," 2,806 ", 963 , 170 , 33 
